,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_borough,dropoff_borough,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
401505,84A183530899658720996137EB26EC5F,BAAF03F4DF8ABB3130B2438457CC5BD8,CMT,1,N,2013-01-01 15:39:06,2013-01-01 15:47:44,1,517,1.6,-73.974052,40.76329,-73.981079,40.744949,manhattan,manhattan,CRD,8.0,0.0,0.5,1.0,0.0,9.5
401614,D5544AD4192F2AC10C745575F4E497D4,885F7CE2460DB857EAD8CB35F9EA9119,CMT,1,N,2013-01-01 19:59:16,2013-01-01 20:07:58,2,522,1.2,-73.958458,40.760422,-73.979057,40.766758,manhattan,manhattan,CRD,8.0,0.5,0.5,1.0,0.0,10.0
401835,33D7015731B84A9D128A6D1672AF7E27,4055CA759BF8367C6FD73BF4A57A3AFF,CMT,1,N,2013-01-01 13:53:33,2013-01-01 14:02:02,4,508,2.1,-74.01178,40.709393,-74.004189,40.738174,brooklyn,manhattan,CRD,9.0,0.0,0.5,4.0,0.0,13.5
402766,3A5EFA8DB8EB16DABEC1C09DA34A195A,55C4860E8226A5985BFCD525997BEA1C,CMT,1,N,2013-01-01 05:48:35,2013-01-01 06:04:31,1,955,4.4,-74.005013,40.718613,-73.987221,40.668308,brooklyn,brooklyn,CRD,16.5,0.5,0.5,3.5,0.0,21.0
402858,679796958F368740A2BD08C205E1DC53,486881E938D5419431BB78DAF364720D,CMT,1,N,2013-01-01 15:43:54,2013-01-01 15:49:52,1,357,1.2,-73.979683,40.743732,-73.989311,40.732323,manhattan,manhattan,CRD,6.5,0.0,0.5,1.0,0.0,8.0
402877,2C096AE6C16398D7D2C1754901310D48,FE6F47FA64A87238343D92A239DF433C,CMT,1,N,2013-01-01 18:15:41,2013-01-01 18:23:10,1,448,1.5,-73.996635,40.74445,-73.989647,40.76273,manhattan,manhattan,CRD,7.5,0.0,0.5,1.6,0.0,9.6
403223,47CC9120DB85913663A9384493061850,9D034B2510FC687CECC7FB1208988F67,CMT,1,N,2013-01-01 17:01:03,2013-01-01 17:20:08,2,1145,4.3,-73.996147,40.763958,-74.005898,40.7117,manhattan,brooklyn,CRD,18.0,0.0,0.5,3.7,0.0,22.2
403424,58598FD2F8811C4F52A264D15D6FECAF,2942468A99C4DE447A339010883272F9,CMT,1,N,2013-01-01 15:52:00,2013-01-01 15:53:20,1,80,0.4,-73.990173,40.740177,-73.994576,40.734787,manhattan,manhattan,CRD,3.5,0.0,0.5,1.0,0.0,5.0
403480,2CE5FD287F8160DA7FF84900180C2D6E,65DF87585C728AB6A019CDF07B944F82,CMT,1,N,2013-01-01 02:56:17,2013-01-01 03:04:19,1,482,1.0,0.0,0.0,0.0,0.0,outside_nyc,outside_nyc,CRD,7.0,0.5,0.5,1.6,0.0,9.6
403753,67C63ACF1AB1BACD892C352EA94808B3,EE2807463C2D21473E97B7952852A9D9,CMT,1,N,2013-01-01 06:36:38,2013-01-01 06:41:34,1,296,1.0,-73.984314,40.752106,-73.972931,40.75407,manhattan,manhattan,CRD,6.0,0.0,0.5,1.0,0.0,7.5
404116,3CF331FBCE272974FAC9AC97F382C786,CD3EDF501AD87E1B9A4E9A4AB22CCF1B,CMT,1,N,2013-01-01 18:50:22,2013-01-01 19:03:46,1,803,4.2,-74.004204,40.73814,-73.955917,40.767765,manhattan,manhattan,CRD,14.0,0.0,0.5,1.0,0.0,15.5
404681,C6D848290D04F67F2EB6B10EF1C4C092,A178A8AF76872E3C8DD79220D8205397,CMT,1,N,2013-01-01 20:00:45,2013-01-01 20:37:11,1,2186,3.6,-73.992798,40.757603,-73.991058,40.755844,manhattan,manhattan,CRD,12.5,0.5,0.5,2.7,0.0,16.2
405757,9F4FB96377F878261E81ACF607366AE7,2A94FC331F259B08FEF3ED137BB7B559,CMT,2,N,2013-01-01 16:25:46,2013-01-01 16:52:13,1,1586,17.9,-73.988167,40.72356,-73.789764,40.647034,manhattan,queens,CRD,52.0,0.0,0.5,10.5,0.0,63.0
405977,EF7DD82682D9FAFB4CC82C3C839535EE,4EB87F3DE56679A11DA81C41DEC6AAD3,CMT,1,N,2013-01-01 20:37:26,2013-01-01 20:46:39,1,552,1.4,-73.984436,40.74683,-74.000214,40.74609,manhattan,manhattan,CRD,8.0,0.5,0.5,1.8,0.0,10.8
406543,CB06D00120162467DDD4F525DCF4F6B4,5A0DE64D1BBAC77FE9867BBD202F1F84,CMT,1,N,2013-01-01 03:26:53,2013-01-01 03:43:31,1,997,3.1,-73.98056,40.730499,-73.99189,40.759941,manhattan,manhattan,CRD,13.5,0.5,0.5,3.62,0.0,18.12
407450,BB7AB03C26A0D97D1A1E3BA84160D7A7,EDF4D56435524ED1FBC8EC5D46391716,CMT,1,N,2013-01-01 15:43:54,2013-01-01 16:25:17,1,2483,5.1,-73.97773,40.752216,-73.995667,40.695259,manhattan,brooklyn,CRD,12.5,0.0,0.5,3.25,0.0,16.25
407596,21FC58AFBC8598230242F146B81D65A7,82B08445C942CE65DDEB86F91B3ED592,CMT,1,N,2013-01-01 22:03:13,2013-01-01 22:16:46,1,812,5.1,-74.00457,40.742382,-73.961563,40.799519,manhattan,manhattan,CRD,16.0,0.5,0.5,3.4,0.0,20.4
409612,3357A44D5456675BF531804275FAEFB3,1ABF43D367B90162166E85F570DB0BFC,CMT,1,N,2013-01-01 19:14:28,2013-01-01 19:44:36,1,1807,11.9,-73.790634,40.644085,-73.939896,40.708282,queens,brooklyn,CRD,36.0,0.0,0.5,7.3,0.0,43.8
412885,01C3BF069A4CB23CEE0389534DB94E89,65A7C84B428B0CCC2B71630FD333AC8D,CMT,1,N,2013-01-01 03:41:39,2013-01-01 03:56:06,1,867,2.9,-73.985931,40.732819,-74.017006,40.709133,manhattan,brooklyn,CRD,12.5,0.5,0.5,2.7,0.0,16.2
